"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-04-30,884,"Blount","TN","Knoxville",432,150000,0.00536193029490617,0.0176390773405699,0.0452961672473868,0.0409966676009448,0.0160663565120016,"2017-04","2017-Q2",150000,0,"2017-04"
2017-04-30,3072,"Washington","TN","Johnson City",433,133400,0.00755287009063444,0.00907715582450832,0.0520504731861199,0.0207182234281889,0.0126861042771922,"2017-04","2017-Q2",133400,0,"2017-04"
2017-04-30,3193,"Spotsylvania","VA","Washington",434,231900,0.00216076058772688,0.00957771005659556,0.0584208124144226,0.0601091236093916,-0.0134397290488546,"2006-05","2006-Q2",281000,-0.174733096085409,"2005-02"
2017-04-30,1296,"Oswego","NY","Syracuse",435,94900,0.0106496272630458,0.0226293103448276,0.044004400440044,0.00776457276277487,0.0167191798645847,"2017-04","2017-Q2",94900,0,"2017-04"
2017-04-30,548,"Gregg","TX","Longview",436,131700,0.00611153552330023,0.0249027237354086,0.0444091990483743,0.0191210953448364,0.0272014657629684,"2017-04","2017-Q2",131700,0,"2017-04"
2017-04-30,3039,"Tangipahoa","LA","Hammond",437,156800,0.0122659780503551,0.0551816958277254,0.125628140703518,0.028268040159781,,"2017-04","2017-Q2",156800,0,"2017-04"
2017-04-30,1229,"Morgan","AL","Decatur",438,118700,0.0145299145299145,0.0560498220640569,0.12405303030303,,,"2017-04","2017-Q2",118700,0,"2017-04"
2017-04-30,394,"Boone","KY","Cincinnati",439,178600,0.00224466891133558,0.00619718309859155,0.0299884659746251,0.0258545347382786,0.00844177969506732,"2017-04","2017-Q2",178600,0,"2017-04"
2017-04-30,2097,"Windham","CT","Worcester",440,186000,0.00649350649350649,0.0214168039538715,0.0496613995485327,0.01815243574169,-0.0210519794877198,"2007-06","2007-Q2",231600,-0.196891191709845,"2004-08"
2017-04-30,2247,"Delaware","IN","Muncie",441,80600,0.00248756218905473,0.0075,0.0718085106382979,0.019447328563541,-0.0040046562876408,"2005-10","2005-Q4",99000,-0.185858585858586,"2000-09"
2017-04-30,1118,"Jasper","MO","Joplin",442,82900,-0.00240673886883273,0.0036319612590799,0.0134474327628362,0.0130402530506499,-0.00249849299260785,"2003-09","2003-Q3",95400,-0.131027253668763,"2001-03"
